Red Line Downtown Berkeley to 24th Street,,,,,,,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 19,Monitor 20,Monitor 20
Color,Station,N/S,Category,Station (U/A),Tunnel,Date,VOC (ppm),VOC (ppm),AQS,AQS,Temperature (C),Temperature (C),Humidity,Humidity,Pressure (mbar),Pressure (mbar),PM1 (ug/m3),PM1 (ug/m3),PM2.5 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),PM10 (ug/m3),Latitude,Longitude,Latitude,Longitude
red,Downtown Berkeley,Northbound,left,Underground,N/A,2024-10-22 19:42:00,0.141,0.166,91,88,23.2,27,39,32,1015,1015.8,1,9,2,12.9,3,16.8,37.8403456,-122.2697745,37.86997321,-122.2680122
red,Downtown Berkeley,Northbound,arrived,Underground,N/A,2024-10-22 19:41:00,0.135,0.17,91,89,23.1,27,37,29,1012.5,1016.3,1,1.5,2.6,3.3,3.8,4.6,37.8430408,-122.270174,37.86557925,-122.2725072
red,Between Stations,Northbound,train,Between Stations,Tunnel,2024-10-22 19:40:00,0.105,0.177,93,89,23.2,27,37,31,1017.4,1013.4,1,1.4,1.9,3,3.4,4.2,37.8480761,-122.2712373,37.84921008,-122.2710655
red,Ashby,Northbound,arrived,Underground,N/A,2024-10-22 19:39:00,0.125,0.172,92,89,23.2,27,39,32,1017.1,1018.2,1,1,2.3,2.4,3.3,3.7,37.8403456,-122.2697745,37.8485243,-122.2712054
red,Between Stations,Northbound,train,Between Stations,Partial,2024-10-22 19:38:00,0.115,0.165,93,90,23.2,27,38,32,1016.5,1018.1,1.1,1,2.6,2.2,4.1,3.4,37.803999,-122.2941448,37.84821605,-122.2712151
red,Between Stations,Northbound,train,Between Stations,Partial,2024-10-22 19:37:00,0.114,0.163,93,90,23.2,27,38,32,1016.5,1017.4,1,1,1,2.6,2,3.6,37.8080977,-122.3102374,37.83934213,-122.2695097
red,Between Stations,Northbound,train,Between Stations,Partial,2024-10-22 19:36:00,0.122,0.155,92,90,23.2,26,39,32,1016.8,1017.9,1,1.2,2,2.6,3,4,37.803999,-122.2941448,37.82972136,-122.26663
red,MacArthur,Northbound,arrived,Aboveground,N/A,2024-10-22 19:35:00,0.14,0.163,91,90,23.2,26,39,33,1018.4,1017.9,1,1,2.4,2.2,3.8,3.6,37.803999,-122.2941448,37.82854258,-122.2660251
red,Between Stations,Northbound,train,Between Stations,None,2024-10-22 19:34:00,0.131,0.174,92,89,23.1,26,42,35,1018.6,1019.3,1.1,1,2.9,2.4,4.3,3.9,37.803999,-122.2941448,37.82429567,-122.2682833
red,Between Stations,Northbound,train,Between Stations,None,2024-10-22 19:33:00,0.123,0.177,92,89,23,26,39,36,1019.7,1019.4,1.4,1.2,3.1,2.8,4.7,4.3,37.803999,-122.2941448,37.81889318,-122.2689372
red,Between Stations,Northbound,train,Between Stations,None,2024-10-22 19:32:00,0.123,0.164,92,90,23,26,36,34,1021.1,1021.2,1,1.4,2,3,3.2,4.2,37.803999,-122.2941448,37.80665265,-122.2722634
red,19th St Oakland,Northbound,arrived,Underground,N/A,2024-10-22 19:31:00,0.116,0.171,93,89,22.9,26,35,32,1019.8,1022.1,1,1,2,2.8,3.2,4.1,37.803999,-122.2941448,37.80340192,-122.2721386
red,12th St Oakland,Northbound,arrived,Underground,N/A,2024-10-22 19:30:00,0.086,0.164,94,90,23,25,34,34,1020.5,1020.8,1,1,2.6,2.4,3.6,4,37.803999,-122.2941448,37.8034068,-122.2721338
red,Between Stations,Northbound,train,Between Stations,Partial,2024-10-22 19:29:00,0.078,0.148,95,91,23,25,33,32,1020.3,1021.4,1,1,2.2,2.1,3.5,3.3,37.803999,-122.2941448,37.80265098,-122.2726222
red,Between Stations,Northbound,train,Between Stations,Partial,2024-10-22 19:28:00,0.082,0.141,95,91,23.1,25,33,31,1020.6,1021.2,1,1,2.4,2.1,3.7,3.3,37.803999,-122.2941448,37.80029281,-122.2747034
red,Between Stations,Northbound,train,Between Stations,Partial,2024-10-22 19:27:00,0.09,0.117,94,92,23.1,25,34,33,1019.1,1021.5,1,1,2.6,1.6,3.7,2.8,37.803999,-122.2941448,37.79870306,-122.2771404
red,Between Stations,Northbound,train,Between Stations,Partial,2024-10-22 19:26:00,0.118,0.119,92,92,23.2,25,35,33,1019.2,1020,1,1,2.7,2.2,4.2,3.7,37.803999,-122.2941448,37.80063308,-122.2822581
red,West Oakland,Northbound,arrived,Aboveground,N/A,2024-10-22 19:25:00,0.127,0.11,92,93,23.2,25,36,34,1019.2,1020.1,1.6,1.5,3.7,3.1,5.7,4.8,37.8056426,-122.2972235,37.80291589,-122.2899484
red,Between Stations,Northbound,train,Between Stations,Tunnel,2024-10-22 19:24:00,0.127,0.105,92,93,23.2,25,38,34,1019.2,1020.1,2.3,2.2,4.6,4.4,6.8,5.9,37.8071809,-122.3104416,37.80512209,-122.295454
red,Between Stations,Northbound,train,Between Stations,Tunnel,2024-10-22 19:23:00,0.118,0.099,92,94,23,25,39,34,1020.3,1020.2,3.3,2.5,5.7,4.9,8.3,6.6,37.7893036,-122.4013664,37.8065792,-122.3007374
red,Between Stations,Northbound,train,Between Stations,Tunnel,2024-10-22 19:22:00,0.112,0.114,93,93,23,25,37,34,1016.3,1021.4,1,3.2,2,5.6,3,7.8,37.7844312,-122.4075875,37.80869331,-122.3170333
red,Between Stations,Northbound,train,Between Stations,Tunnel,2024-10-22 19:21:00,0.106,0.131,93,92,22.8,25,38,35,1012.1,1007.9,2.3,3.3,4.2,5.2,5.9,7.3,37.7893036,-122.4013664,37.79812731,-122.3704976
red,Between Stations,Northbound,train,Between Stations,Tunnel,2024-10-22 19:20:00,0.114,0.128,93,92,22.7,25,39,36,1018.1,1012.6,3.2,3.1,5.5,5.2,7.2,6.5,37.7893036,-122.4013664,37.79719454,-122.3760502
red,Between Stations,Northbound,train,Between Stations,Tunnel,2024-10-22 19:19:00,0.107,0.103,92,93,22.5,25,41,37,1021,1019,4.7,3.6,7.1,5.5,8.9,7,37.7893036,-122.4013664,37.78811924,-122.3914305
red,Embarcadero,Northbound,arrived,Underground,N/A,2024-10-22 19:18:00,0.106,0.105,91,92,22.5,25,41,37,1022.1,1021.6,5.8,5.9,8.2,7.9,10.3,9,37.7893036,-122.4013664,37.78718553,-122.3997401
