Red Line Downtown Berkeley to 24th Street,,,,,,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 19,Monitor 20,Monitor 20
Color,Station,N/S,Category,Station (U/A),Date,VOC (ppm),VOC (ppm),AQS,AQS,Temperature (C),Temperature (C),Humidity,Humidity,Pressure (mbar),Pressure (mbar),PM1 (ug/m3),PM1 (ug/m3),PM2.5_19 (ug/m3),PM2.5_20 (ug/m3),PM10 (ug/m3),PM10 (ug/m3),Latitude,Longitude,Latitude,Longitude
red,Downtown Berkeley,Northbound,arrived,Underground,2024-10-24 19:37:00,0.122,0.065,92,81,20.4,21,38,37,1008.8,1009.52,1,13,1,18,3,24,37.8430408,-122.270174,37.8713664,-122.2684215
red,Between Stations,Northbound,train,Between Stations,2024-10-24 19:36:00,0.129,0.064,92,96,20.3,21,40,36,1008.6,1009.44,1,1,1,2,3,4,37.8430408,-122.270174,,
red,Between Stations,Northbound,train,Between Stations,2024-10-24 19:35:00,0.075,0.065,95,96,20.4,21,32,32,1011.3,1011.95,1,1,1,2,3,4,37.8430408,-122.270174,,
red,Ashby,Northbound,arrived,Underground,2024-10-24 19:34:00,0.077,0.068,95,95,20.4,21,33,31,1011.1,1011.93,1,1,1,1,3,2,37.8436882,-122.2706459,,
red,Between Stations,Northbound,train,Between Stations,2024-10-24 19:33:00,0.08,0.071,95,95,20.4,21,33,31,1009.8,1011.27,1,1,1,1,2,2,37.8373844,-122.2686846,,
red,Between Stations,Northbound,train,Between Stations,2024-10-24 19:32:00,0.084,0.074,94,95,20.5,21,32,32,1010.6,1010.88,1.4,1,2.7,2,4.2,3,37.8327051,-122.2662379,,
red,Between Stations,Northbound,train,Between Stations,2024-10-24 19:31:00,0.09,0.077,94,95,20.5,21,32,32,1010.8,1011.51,1,1,2,2,3,3,37.8320539,-122.2663644,,
red,Between Stations,Northbound,train,Between Stations,2024-10-24 19:30:00,0.094,0.08,94,95,20.5,21,33,33,1010.6,1011.41,1,1,3,2,5,3,37.8292706,-122.2668506,,
red,Between Stations,Northbound,train,Between Stations,2024-10-24 19:29:00,0.119,0.082,92,95,20.6,21,36,34,1010.6,1011.36,1,1,1,2,3,4,37.8292497,-122.2668787,,
red,MacArthur,Northbound,arrived,Aboveground,2024-10-24 19:28:00,0.114,0.084,93,94,20.6,21,36,36,1011.3,1011.5,1,1,2.1,1,3.2,2,37.8265126,-122.266711,,
red,Between Stations,Northbound,train,Between Stations,2024-10-24 19:27:00,0.115,0.085,93,94,20.6,21,36,35,1011.3,1012.94,1,1,1,2,2,3,37.8179553,-122.2701202,,
red,Between Stations,Northbound,train,Between Stations,2024-10-24 19:26:00,0.091,0.087,94,94,20.7,21,31,31,1012.5,1013.33,1,1,1,2,2,3,37.8168941,-122.2711756,,
red,Between Stations,Northbound,train,Between Stations,2024-10-24 19:25:00,0.068,0.09,95,94,20.8,21,31,31,1013.9,1014.94,1,1,1,3,2,5,37.8037247,-122.2715443,,
red,Between Stations,Northbound,train,Between Stations,2024-10-24 19:24:00,0.109,0.093,93,94,20.9,21,32,32,1014.8,1015.72,1.2,2,2.8,3,4.1,5,37.8112204,-122.2719462,,
red,19th St Oakland,Northbound,arrived,Underground,2024-10-24 19:23:00,0.108,0.096,93,94,20.9,21,32,32,1014.8,1015.54,1,1,1,2,2,3,37.8037247,-122.2715443,,
red,Between Stations,Northbound,train,Between Stations,2024-10-24 19:22:00,0.126,0.098,92,94,21,21,34,34,1014.9,1015.53,1,1,1,2,2,3,37.8037166,-122.271565,,
red,12th St Oakland,Northbound,arrived,Underground,2024-10-24 19:21:00,0.134,0.099,91,94,21.2,21,37,36,1014,1014.77,1,1,1,2,2,3,37.803767,-122.2715312,,
red,Between Stations,Northbound,train,Between Stations,2024-10-24 19:20:00,0.112,0.099,93,94,21.3,21,33,33,1014,1014.8,1,1,1,1,2,2,37.8046741,-122.2945816,,
red,Between Stations,Northbound,train,Between Stations,2024-10-24 19:19:00,0.102,0.1,93,94,21.5,22,28,29,1014.3,1014.98,1,1,2.5,1,3.3,2,37.799799,-122.2815593,,
red,Between Stations,Northbound,train,Between Stations,2024-10-24 19:18:00,0.114,0.101,93,93,21.6,22,29,29,1013.5,1015.04,1,1,2.2,1,3.7,2,37.799799,-122.2815593,,
red,Between Stations,Northbound,train,Between Stations,2024-10-24 19:17:00,0.123,0.102,92,93,21.6,22,30,29,1012.5,1013.56,1.3,1,3.1,2,4.4,3,37.8036952,-122.2861722,,
red,Between Stations,Northbound,train,Between Stations,2024-10-24 19:16:00,0.138,0.103,91,93,21.6,22,31,31,1012.4,1013.21,2,1,3.7,2,5.8,4,37.8046741,-122.2945816,,
red,West Oakland,Northbound,arrived,Aboveground,2024-10-24 19:15:00,0.154,0.103,90,93,21.7,22,33,32,1013,1013.34,1,2,1,3,2,5,37.8047003,-122.2946337,,
red,Between Stations,Northbound,train,Between Stations,2024-10-24 19:14:00,0.178,0.103,89,93,21.7,22,33,33,1011.8,1013.15,1,2,1,4,2,6,37.7893191,-122.4013678,,
red,Between Stations,Northbound,train,Between Stations,2024-10-24 19:13:00,0.163,0.102,90,93,21.9,22,32,33,1014.2,1012.87,2.4,2,4.8,4,6.8,7,37.8074176,-122.3038421,,
red,Between Stations,Northbound,train,Between Stations,2024-10-24 19:12:00,0.147,0.1,91,94,22.1,22,29,30,1013.4,1012.62,3.2,3,6,5,8.5,7,37.8075772,-122.3091571,,
red,Between Stations,Northbound,train,Between Stations,2024-10-24 19:11:00,0.137,0.099,91,94,22.3,22,29,28,1018.8,1016.1,3.3,2,6.2,5,9.2,8,37.7893197,-122.4013661,,
red,Between Stations,Northbound,train,Between Stations,2024-10-24 19:10:00,0.131,0.099,92,92,22.5,23,28,28,1020.4,1021.49,1,4,1,7,2,11,37.7893191,-122.4013678,,
red,Between Stations,Northbound,train,Between Stations,2024-10-24 19:09:00,0.137,0.101,88,89,22.6,23,28,28,1015.9,1019.09,6.7,6,11.7,11,16.9,16,37.7893191,-122.4013678,,
red,Embarcadero,Northbound,arrived,Underground,2024-10-24 19:08:00,0.155,0.102,90,90,22.6,23,33,28,1015.7,1016.67,1,6,1,10,2,15,37.7893191,-122.4013678,,
red,Montgomery St,Northbound,arrived,Underground,2024-10-24 19:07:00,0.128,0.102,92,90,22.9,23,28,28,1015.3,1016.58,1,5,1,9,2,14,37.7893201,-122.4013642,,
red,Between Stations,Northbound,train,Between Stations,2024-10-24 19:06:00,0.137,0.103,91,85,23,23,29,28,1014.3,1016.04,1,9,1,15,2,21,37.7851028,-122.4067416,,
red,Powell St,Northbound,arrived,Underground,2024-10-24 19:05:00,0.142,0.103,91,86,23,23,31,29,1014.9,1016.01,1,8,1,14,2,20,37.7850913,-122.4067388,,
red,Between Stations,Northbound,train,Between Stations,2024-10-24 19:04:00,0.143,0.103,91,85,22.9,23,31,30,1015.3,1016.47,1,8,1,15,2,21,37.7789938,-122.4141579,,
red,Civic Center/UN Plaza,Northbound,arrived,Underground,2024-10-24 19:03:00,0.135,0.103,91,87,22.9,23,30,31,1014.8,1015.66,1,7,1,13,2,19,37.7792659,-122.4142349,,
red,Between Stations,Northbound,train,Between Stations,10/24/2024 19:02:00,,0.103,,85,,23,,29,,1015.89,,8,,15,,21,,,,
red,16th St Mission,Northbound,arrived,Underground,2024-10-24 19:01:00,0.117,0.084,92,94,23,24,29,26,1017.77,1015.38,1,,1,,2,,,,,
