Yellow Line Rockridge to Antioch,,,,,,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 19,Monitor 20,Monitor 20,
Color,Station,N/S,Category,Station (U/A),Tunnel,Date,VOC (ppm),VOC (ppm),AQS,AQS,Temperature (C),Temperature (C),Humidity,Humidity,Pressure (mbar),Pressure (mbar),PM1 (ug/m3),PM1 (ug/m3),PM2.5 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),PM10 (ug/m3),Latitude,Longitude,Latitude,Longitude
yellow,Rockridge,Southbound,left,Aboveground,2024-10-23 21:20:00,0.038,0.047,89,90,20,21,38,36,1012.27,1012.65,8,7,10,10,11,11,,,,,
yellow,Rockridge,Southbound,arrived,Aboveground,2024-10-23 21:19:00,0.037,0.047,93,96,20,21,35,33,1011.76,1012.37,4,2,7,4,8,6,,,,,
yellow,Between Stations,Southbound,train,Between Stations,2024-10-23 21:18:00,0.036,0.047,97,97,20,21,33,31,1010.37,1008.33,1,2,3,3,4,5,,,,,
yellow,Between Stations,Southbound,train,Between Stations,2024-10-23 21:17:00,0.035,0.047,97,97,20,21,31,29,1002.84,1000.58,1,2,3,3,4,4,,,,,
yellow,Between Stations,Southbound,train,Between Stations,2024-10-23 21:16:00,0.033,0.047,98,97,20,21,29,27,997.39,998.92,1,1,2,3,4,4,,,,,
yellow,Between Stations,Southbound,train,Between Stations,2024-10-23 21:15:00,0.032,0.047,98,97,20,21,28,27,999.91,1002.06,1,1,2,2,3,4,,,,,
yellow,Orinda,Southbound,arrived,Aboveground,2024-10-23 21:14:00,0.031,0.047,98,97,20,21,29,28,1001.04,1001.8,1,1,2,3,4,4,,,,,
yellow,Between Stations,Southbound,train,Between Stations,2024-10-23 21:13:00,0.029,0.047,97,97,20,21,30,29,1000.65,1000.34,1,2,3,3,4,4,,,,,
yellow,Between Stations,Southbound,train,Between Stations,2024-10-23 21:12:00,0.027,0.047,97,97,20,21,30,29,997.33,998.55,1,1,3,2,4,4,,,,,
yellow,Between Stations,Southbound,train,Between Stations,2024-10-23 21:11:00,0.025,0.047,98,97,20,21,30,29,1001.14,1003.52,1,1,2,2,3,4,,,,,
yellow,Between Stations,Southbound,train,Between Stations,2024-10-23 21:10:00,0.023,0.048,97,97,20,21,30,28,1003.53,1005.58,1,1,3,3,4,4,,,,,
yellow,Lafayette,Southbound,arrived,Aboveground,2024-10-23 21:09:00,0.022,0.05,98,97,20,21,29,27,1005.53,1006.72,1,1,2,2,3,4,,,,,
yellow,Between Stations,Southbound,train,Between Stations,2024-10-23 21:08:00,0.021,0.052,98,96,20,21,29,28,1006.27,1007.56,1,1,2,3,3,4,,,,,
