Yellow Line Rockridge to Antioch,,,,,,,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 19,Monitor 20,Monitor 20
Color,Station,N/S,Category,Station (U/A),Tunnel,Date,VOC (ppm),VOC (ppm),AQS,AQS,Temperature (C),Temperature (C),Humidity,Humidity,Pressure (mbar),Pressure (mbar),PM1 (ug/m3),PM1 (ug/m3),PM2.5 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),PM10 (ug/m3),Latitude,Longitude,Latitude,Longitude
yellow,Rockridge,Southbound,left,Aboveground,N/A,2024-10-25 20:21:00,0.132,0.132,92,92,24,24,34,34,1012.8,1012.8,5.7,5.7,7.8,7.8,9,9,37.8444519,-122.2513888,37.8444519,-122.2513888
yellow,Rockridge,Southbound,arrived,Aboveground,N/A,2024-10-25 20:20:00,0.11,0.11,93,93,24,24,30,30,1012.4,1012.4,1.5,1.5,2.8,2.8,4.2,4.2,37.8444519,-122.2518829,37.8444519,-122.2518829
yellow,Between Stations,Southbound,train,Between Stations,Tunnel,2024-10-25 20:19:00,0.094,0.094,94,94,24,24,26,26,1010.7,1010.7,2,2,3.5,3.5,5,5,37.84951782,-122.241716,37.84951782,-122.241716
yellow,Between Stations,Southbound,train,Between Stations,Tunnel,2024-10-25 20:18:00,0.093,0.093,94,94,24,24,26,26,1004.4,1004.4,1.4,1.4,2.9,2.9,4.1,4.1,37.86529541,-122.2048224,37.86529541,-122.2048224
yellow,Between Stations,Southbound,train,Between Stations,Tunnel,2024-10-25 20:17:00,0.099,0.099,94,94,25,25,23,23,1001.6,1001.6,1,1,2.5,2.5,3.8,3.8,37.86529541,-122.2048224,37.86529541,-122.2048224
yellow,Between Stations,Southbound,train,Between Stations,Tunnel,2024-10-25 20:16:00,0.108,0.108,93,93,25,25,23,23,1005.6,1005.6,1,1,2,2,3.1,3.1,37.8770752,-122.1848221,37.8770752,-122.1848221
yellow,Orinda,Southbound,arrived,Aboveground,N/A,2024-10-25 20:15:00,0.126,0.126,92,92,25,25,24,24,1001.6,1001.6,2,2,3.8,3.8,4.9,4.9,37.87728882,-122.1846485,37.87728882,-122.1846485
yellow,Between Stations,Southbound,train,Between Stations,None,2024-10-25 20:14:00,0.12,0.12,92,92,25,25,26,26,1001.3,1001.3,1,1,2.6,2.6,3.2,3.2,37.88134766,-122.1816188,37.88134766,-122.1816188
yellow,Between Stations,Southbound,train,Between Stations,None,2024-10-25 20:13:00,0.121,0.121,92,92,25,25,26,26,999.5,999.5,1,1,2.3,2.3,3.3,3.3,37.88998413,-122.1750786,37.88998413,-122.1750786
yellow,Between Stations,Southbound,train,Between Stations,None,2024-10-25 20:12:00,0.124,0.124,92,92,25,25,27,27,998.6,998.6,1,1,2.1,2.1,3,3,37.89260864,-122.1628247,37.89260864,-122.1628247
yellow,Between Stations,Southbound,train,Between Stations,None,2024-10-25 20:11:00,0.131,0.131,92,92,25,25,26,26,1004.1,1004.1,1.2,1.2,2.7,2.7,3.7,3.7,37.89053345,-122.1435176,37.89053345,-122.1435176
yellow,Lafayette,Southbound,arrived,Aboveground,N/A,2024-10-25 20:10:00,0.144,0.144,91,91,25,25,28,28,1006,1006,2.8,2.8,4.2,4.2,5.6,5.6,37.89398193,-122.1256207,37.89398193,-122.1256207
yellow,Between Stations,Southbound,train,Between Stations,Partial,2024-10-25 20:09:00,0.148,0.148,91,91,25,25,27,27,1006.2,1006.2,1,1,1.6,1.6,2.7,2.7,37.89398193,-122.1256207,37.89398193,-122.1256207
yellow,Between Stations,Southbound,train,Between Stations,Partial,2024-10-25 20:08:00,0.141,0.141,91,91,25,25,27,27,1007,1007,1,1,1.9,1.9,3.2,3.2,37.89550781,-122.1122056,37.89550781,-122.1122056
yellow,Between Stations,Southbound,train,Between Stations,Partial,2024-10-25 20:07:00,0.153,0.153,90,90,25,25,27,27,1008.3,1008.3,1,1,1.7,1.7,2.8,2.8,37.89477539,-122.107414,37.89477539,-122.107414
yellow,Between Stations,Southbound,train,Between Stations,Partial,2024-10-25 20:06:00,0.153,0.153,90,90,25,25,28,28,1009.3,1009.3,1,1,1.9,1.9,2.9,2.9,37.89685059,-122.0729005,37.89685059,-122.0729005
yellow,Walnut Creek,Southbound,arrived,Aboveground,N/A,2024-10-25 20:05:00,0.145,0.145,91,91,24,24,29,29,1011.5,1011.5,1,1,1.9,1.9,3,3,37.90518188,-122.0661156,37.90518188,-122.0661156
yellow,Between Stations,Southbound,train,Between Stations,None,2024-10-25 20:04:00,0.14,0.14,91,91,24,24,29,29,1012.2,1012.2,1,1,2.1,2.1,2.8,2.8,37.91018677,-122.0653331,37.91018677,-122.0653331
yellow,Between Stations,Southbound,train,Between Stations,None,2024-10-25 20:03:00,0.139,0.139,91,91,24,24,29,29,1015,1015,1,1,1.8,1.8,2.9,2.9,37.92684937,-122.0577455,37.92684937,-122.0577455
yellow,Pleasant Hill/Contra Costa Centre,Southbound,arrived,Aboveground,N/A,2024-10-25 20:02:00,0.126,0.126,92,92,24,24,29,29,1014.7,1014.7,1,1,1.9,1.9,3,3,37.93017578,-122.0577776,37.93017578,-122.0577776
yellow,Between Stations,Southbound,train,Between Stations,None,2024-10-25 20:01:00,0.128,0.128,92,92,24,24,29,29,1015.2,1015.2,1,1,2,2,3,3,37.93414307,-122.0470735,37.93414307,-122.0470735
yellow,Between Stations,Southbound,train,Between Stations,None,2024-10-25 20:00:00,0.118,0.118,92,92,24,24,29,29,1016.2,1016.2,1,1,2.1,2.1,2.7,2.7,37.94204712,-122.0316952,37.94204712,-122.0316952
yellow,Between Stations,Southbound,train,Between Stations,None,2024-10-25 19:59:00,0.107,0.107,93,93,24,24,28,28,1016.6,1016.6,1,1,2.2,2.2,3,3,37.95727539,-122.0285311,37.95727539,-122.0285311
yellow,Between Stations,Southbound,train,Between Stations,None,2024-10-25 19:58:00,0.093,0.093,94,94,23,23,29,29,1015.6,1015.6,1.2,1.2,2.7,2.7,3.5,3.5,37.96832275,-122.0314262,37.96832275,-122.0314262
yellow,Concord,Southbound,arrived,Aboveground,N/A,2024-10-25 19:57:00,0.067,0.067,95,95,23,23,28,28,1015.1,1015.1,1.2,1.2,2.3,2.3,3.5,3.5,37.97146606,-122.0307719,37.97146606,-122.0307719
yellow,Between Stations,Southbound,train,Between Stations,None,2024-10-25 19:56:00,0.055,0.055,96,96,23,23,26,26,1015.5,1015.5,1,1,2.3,2.3,3.1,3.1,37.9848938,-122.0329669,37.9848938,-122.0329669
yellow,Between Stations,Southbound,train,Between Stations,None,2024-10-25 19:55:00,0.054,0.054,96,96,23,23,26,26,1016.9,1016.9,1,1,2.3,2.3,3.1,3.1,37.99334717,-122.0318935,37.99334717,-122.0318935
yellow,North Concord/Martinez,Southbound,arrived,Aboveground,N/A,2024-10-25 19:54:00,0.055,0.055,96,96,23,23,27,27,1015.5,1015.5,1,1,2.3,2.3,3.2,3.2,37.99957275,-122.0286085,37.99957275,-122.0286085
yellow,Between Stations,Southbound,train,Between Stations,None,2024-10-25 19:53:00,0.044,0.044,97,97,23,23,26,26,1015.2,1015.2,1,1,1.9,1.9,2.8,2.8,38.00982666,-122.0193845,38.00982666,-122.0193845
yellow,Between Stations,Southbound,train,Between Stations,None,2024-10-25 19:52:00,0.046,0.046,97,97,23,23,25,25,1014.8,1014.8,1,1,2,2,2.6,2.6,38.00921631,-122.0030153,38.00921631,-122.0030153
yellow,Between Stations,Southbound,train,Between Stations,None,2024-10-25 19:51:00,0.06,0.06,96,96,23,23,26,26,1009.6,1009.6,1,1,2.1,2.1,3,3,38.0184021,-121.9883839,38.0184021,-121.9883839
yellow,Between Stations,Southbound,train,Between Stations,None,2024-10-25 19:50:00,0.096,0.096,94,94,22,22,30,30,1007.1,1007.1,1,1,2.1,2.1,3,3,38.02322212,-121.9769373,38.02322212,-121.9769373
yellow,Between Stations,Southbound,train,Between Stations,None,2024-10-25 19:49:00,0.083,0.083,95,95,22,22,31,31,1012.7,1012.7,1.3,1.3,2.5,2.5,3.8,3.8,38.01895142,-121.9448539,38.01895142,-121.9448539
yellow,Pittsburg Center,Southbound,arrived,Aboveground,N/A,2024-10-25 19:48:00,0.064,0.064,96,96,22,22,30,30,1013.3,1013.3,2.2,2.2,3.8,3.8,4.5,4.5,38.01895142,-121.9448539,38.01895142,-121.9448539
yellow,Between Stations,Southbound,train,Between Stations,None,2024-10-25 19:47:00,0.063,0.063,96,96,22,22,30,30,1013.2,1013.2,1,1,1.9,1.9,3.2,3.2,38.01965332,-121.9331873,38.01965332,-121.9331873
yellow,Between Stations,Southbound,train,Between Stations,None,2024-10-25 19:46:00,0.055,0.055,96,96,22,22,30,30,1014.7,1014.7,1.2,1.2,2.6,2.6,3.3,3.3,38.01965332,-121.9331873,38.01965332,-121.9331873
yellow,Between Stations,Southbound,train,Between Stations,None,2024-10-25 19:45:00,0.028,0.028,98,98,22,22,28,28,1014.5,1014.5,1.4,1.4,2.8,2.8,3.7,3.7,38.01965332,-121.9331873,38.01965332,-121.9331873
yellow,Transfer Stop,Southbound,arrived,Aboveground,N/A,2024-10-25 19:44:00,0.009,0.009,97,97,22,22,23,23,1014.5,1014.5,2.3,2.3,3.4,3.4,4.7,4.7,38.01965332,-121.9331873,38.01965332,-121.9331873
yellow,Between Stations,Southbound,train,Between Stations,None,2024-10-25 19:43:00,0.03,0.03,96,96,22,22,26,26,1014.7,1014.7,3.2,3.2,4.5,4.5,5.7,5.7,38.01937866,-121.9280719,38.01937866,-121.9280719
yellow,Between Stations,Southbound,train,Between Stations,None,2024-10-25 19:42:00,0.037,0.037,96,96,22,22,26,26,1015.3,1015.3,3.4,3.4,4.7,4.7,6.1,6.1,38.02001258,-121.9223765,38.02001258,-121.9223765
yellow,Between Stations,Southbound,train,Between Stations,None,2024-10-25 19:41:00,0.034,0.034,95,95,21,21,28,28,1016.6,1016.6,3.6,3.6,5.3,5.3,5.9,5.9,38.01998901,-121.910233,38.01998901,-121.910233
yellow,Between Stations,Southbound,train,Between Stations,None,2024-10-25 19:40:00,0.037,0.037,94,94,21,21,28,28,1016.6,1016.6,4.2,4.2,5.6,5.6,6.8,6.8,38.01611328,-121.8895632,38.01611328,-121.8895632
yellow,Pittsburg Center,Southbound,arrived,Aboveground,N/A,2024-10-25 19:39:00,0.017,0.017,94,94,21,21,29,29,1016.6,1016.6,4.7,4.7,6.4,6.4,7.1,7.1,38.01620483,-121.8895088,38.01620483,-121.8895088
yellow,Between Stations,Southbound,train,Between Stations,None,2024-10-25 19:38:00,0.026,0.026,93,93,21,21,30,30,1016.6,1016.6,5,5,6.7,6.7,7.8,7.8,38.01473999,-121.881097,38.01473999,-121.881097
yellow,Between Stations,Southbound,train,Between Stations,None,2024-10-25 19:37:00,0.028,0.028,93,93,21,21,30,30,1015.9,1015.9,5.5,5.5,6.9,6.9,7.9,7.9,38.01031494,-121.8633583,38.01031494,-121.8633583
yellow,Between Stations,Southbound,train,Between Stations,None,2024-10-25 19:36:00,0.023,0.023,90,90,21,21,31,31,1015.3,1015.3,7.1,7.1,8.9,8.9,9.6,9.6,38.00012207,-121.8391492,38.00012207,-121.8391492
yellow,Between Stations,Southbound,train,Between Stations,None,2024-10-25 19:35:00,0.02,0.02,92,92,21,21,31,31,1015.8,1015.8,6.1,6.1,7.5,7.5,8.6,8.6,38.0017395,-121.829692,38.0017395,-121.829692
yellow,Between Stations,Southbound,train,Between Stations,None,2024-10-25 19:34:00,0.017,0.017,93,93,20,20,33,33,1016.2,1016.2,5,5,6.5,6.5,7.5,7.5,37.99880981,-121.8095062,37.99880981,-121.8095062
yellow,Antioch,Southbound,left,Aboveground,N/A,2024-10-25 19:33:00,0.013,0.013,93,93,20,20,33,33,1016.2,1016.2,5.5,5.5,7.2,7.2,8.3,8.3,37.99707031,-121.7933781,37.99707031,-121.7933781
yellow,Antioch,Northbound,wait,Aboveground,N/A,2024-10-25 19:32:00,0.014,0.014,93,93,20,20,33,33,1015.6,1015.6,5.4,5.4,7.2,7.2,8.1,8.1,37.99560547,-121.7806161,37.99560547,-121.7806161
yellow,Antioch,Northbound,wait,Aboveground,N/A,2024-10-25 19:31:00,0.019,0.019,95,95,20,20,33,33,1015.3,1015.3,4.2,4.2,5.9,5.9,6.6,6.6,37.99560547,-121.7806382,37.99560547,-121.7806382
yellow,Antioch,Northbound,wait,Aboveground,N/A,2024-10-25 19:30:00,0.014,0.014,94,94,20,20,33,33,1015.3,1015.3,4.5,4.5,6,6,7.1,7.1,37.99560547,-121.780626,37.99560547,-121.780626
yellow,Antioch,Northbound,wait,Aboveground,N/A,2024-10-25 19:29:00,0.011,0.011,94,94,20,20,33,33,1015.2,1015.2,4.9,4.9,6.2,6.2,7.6,7.6,37.99560547,-121.7806516,37.99560547,-121.7806516
yellow,Antioch,Northbound,wait,Aboveground,N/A,2024-10-25 19:28:00,0,0,87,87,20,20,32,32,1015.2,1015.2,9.4,9.4,11.3,11.3,12.4,12.4,37.99462891,-121.7799585,37.99462891,-121.7799585
yellow,Antioch,Northbound,wait,Aboveground,N/A,2024-10-25 19:27:00,0,0,87,87,20,20,32,32,1015.2,1015.2,9.4,9.4,11.1,11.1,12,12,37.99520874,-121.7800831,37.99520874,-121.7800831
yellow,Antioch,Northbound,wait,Aboveground,N/A,2024-10-25 19:26:00,0,0,87,87,20,20,32,32,1015.2,1015.2,9.2,9.2,11.2,11.2,11.9,11.9,37.99520874,-121.7800831,37.99520874,-121.7800831
yellow,Antioch,Northbound,wait,Aboveground,N/A,2024-10-25 19:25:00,0.003,0.003,89,89,20,20,32,32,1015.2,1015.2,8.3,8.3,10.3,10.3,11.3,11.3,37.99523926,-121.7799036,37.99523926,-121.7799036
yellow,Antioch,Northbound,wait,Aboveground,N/A,2024-10-25 19:24:00,0.009,0.009,87,87,20,20,32,32,1015.2,1015.2,9.3,9.3,11.1,11.1,11.9,11.9,37.99560547,-121.7806396,37.99560547,-121.7806396
yellow,Antioch,Northbound,wait,Aboveground,N/A,2024-10-25 19:23:00,0.003,0.003,86,86,20,20,32,32,1015.2,1015.2,10,10,11.9,11.9,12.9,12.9,37.99539185,-121.7799314,37.99539185,-121.7799314
yellow,Antioch,Northbound,wait,Aboveground,N/A,2024-10-25 19:22:00,0.017,0,89,88,20,20,32,32,1015.26,1015.2,8,8.7,10,10.3,11,11.7,,,37.99534375,-121.780562
yellow,Antioch,Northbound,wait,Aboveground,N/A,2024-10-25 19:21:00,0,0,88,88,20,20,32,32,1015.2,1015.2,8.8,8.8,10.5,10.5,11.6,11.6,37.99539185,-121.7803223,37.99539185,-121.7803223
